Iterations	Algorithm	BitErrorRate
13	BitFlip	0.0367
13	BitFlip	0.0384
13	BitFlip	0.0389
13	BitFlip	0.0411
13	BitFlip	0.0427
13	BitFlip	0.0442
13	BitFlip	0.0454
13	BitFlip	0.0467
13	BitFlip	0.0478
13	BitFlip	0.0496
13	BitFlip	0.0502
13	BitFlip	0.0522
13	BitFlip	0.053
13	BitFlip	0.0541
13	BitFlip	0.0549
13	BitFlip	0.0565
13	BitFlip	0.0577
13	BitFlip	0.0593
13	BitFlip	0.0606
13	BitFlip	0.063
13	BitFlip	0.0642
13	BitFlip	0.0654
13	BitFlip	0.067
13	BitFlip	0.068
13	BitFlip	0.0686
13	BitFlip	0.0694
13	BitFlip	0.0703
13	BitFlip	0.0721
13	BitFlip	0.0733
13	BitFlip	0.074
13	BitFlip	0.075
13	BitFlip	0.076
13	BitFlip	0.0767
13	BitFlip	0.0775
13	BitFlip	0.0783
13	BitFlip	0.0798
13	BitFlip	0.0811
13	BitFlip	0.0821
13	BitFlip	0.083
13	BitFlip	0.0839
13	BitFlip	0.0849
13	BitFlip	0.0857
13	BitFlip	0.0869
13	BitFlip	0.0887
13	BitFlip	0.0898
13	BitFlip	0.0915
13	BitFlip	0.0923
13	BitFlip	0.0939
13	BitFlip	0.095
13	BitFlip	0.0957
13	BitFlip	0.0966
13	BitFlip	0.0982
13	BitFlip	0.0994
13	BitFlip	0.1007
13	BitFlip	0.1022
13	BitFlip	0.1031
13	BitFlip	0.1042
13	BitFlip	0.1052
13	BitFlip	0.1063
13	BitFlip	0.1075
13	BitFlip	0.1087
13	BitFlip	0.1102
13	BitFlip	0.1113
13	BitFlip	0.1126
13	BitFlip	0.1134
13	BitFlip	0.1156
13	BitFlip	0.1165
13	BitFlip	0.1183
14	Majority	0.0008
14	Majority	0.0017
14	Majority	0.0028
14	Majority	0.0045
14	Majority	0.0049
14	Majority	0.0063
14	Majority	0.0068
14	Majority	0.0079
14	Majority	0.0086
14	Majority	0.0102
14	Majority	0.0116
14	Majority	0.0131
14	Majority	0.0154
14	Majority	0.0165
14	Majority	0.0176
14	Majority	0.0187
14	Majority	0.02
14	Majority	0.0216
14	Majority	0.0229
14	Majority	0.0246
14	Majority	0.0253
14	Majority	0.026
14	Majority	0.0273
14	Majority	0.0296
14	Majority	0.0304
14	Majority	0.0314
14	Majority	0.0323
14	Majority	0.0337
14	Majority	0.0347
14	Majority	0.036
14	Majority	0.0376
14	Majority	0.0386
14	Majority	0.0395
14	Majority	0.0414
14	Majority	0.0427
14	Majority	0.0442
14	Majority	0.0457
14	Majority	0.047
14	Majority	0.0484
14	Majority	0.0499
14	Majority	0.0507
14	Majority	0.0523
14	Majority	0.0535
14	Majority	0.0547
14	Majority	0.0558
14	Majority	0.0571
14	Majority	0.0586
14	Majority	0.0598
14	Majority	0.0611
14	Majority	0.0627
14	Majority	0.0635
14	Majority	0.0654
14	Majority	0.0664
14	Majority	0.068
14	Majority	0.069
14	Majority	0.0701
14	Majority	0.0707
14	Majority	0.0718
14	Majority	0.0728
14	Majority	0.0744
14	Majority	0.075
14	Majority	0.077
14	Majority	0.0784
14	Majority	0.0798
14	Majority	0.0805
14	Majority	0.0818
14	Majority	0.0829
14	Majority	0.0839
14	Majority	0.0856
14	Majority	0.0877
14	Majority	0.0882
14	Majority	0.0889
14	Majority	0.09
14	Majority	0.0914
14	Majority	0.0922
14	Majority	0.094
14	Majority	0.0954
14	Majority	0.0964
14	Majority	0.097
14	Majority	0.0983
14	Majority	0.0991
14	Majority	0.101
14	Majority	0.1019
14	Majority	0.103
14	Majority	0.104
14	Majority	0.1052
14	Majority	0.1064
14	Majority	0.1076
14	Majority	0.1082
14	Majority	0.1095
14	Majority	0.1106
14	Majority	0.1124
14	Majority	0.1134
14	Majority	0.1149
14	Majority	0.116
14	Majority	0.1169
14	Majority	0.118
14	Majority	0.1186
14	Majority	0.1199
14	Majority	0.1214
14	BitFlip	0.0009
14	BitFlip	0.0018
14	BitFlip	0.0029
14	BitFlip	0.0039
14	BitFlip	0.0055
14	BitFlip	0.0068
14	BitFlip	0.0073
14	BitFlip	0.0087
14	BitFlip	0.01
14	BitFlip	0.0119
14	BitFlip	0.0128
14	BitFlip	0.0142
14	BitFlip	0.0155
14	BitFlip	0.0164
14	BitFlip	0.0176
14	BitFlip	0.0181
14	BitFlip	0.0194
14	BitFlip	0.0202
14	BitFlip	0.0216
14	BitFlip	0.0228
14	BitFlip	0.0243
14	BitFlip	0.0254
14	BitFlip	0.0267
14	BitFlip	0.0276
14	BitFlip	0.0288
14	BitFlip	0.03
14	BitFlip	0.0309
14	BitFlip	0.0324
14	BitFlip	0.0332
14	BitFlip	0.0347
14	BitFlip	0.0359
14	BitFlip	0.0375
14	BitFlip	0.0387
14	BitFlip	0.0404
14	BitFlip	0.0415
14	BitFlip	0.0429
14	BitFlip	0.0436
14	BitFlip	0.0453
14	BitFlip	0.0463
14	BitFlip	0.0481
14	BitFlip	0.0486
14	BitFlip	0.0494
14	BitFlip	0.0502
14	BitFlip	0.0525
14	BitFlip	0.0534
14	BitFlip	0.055
14	BitFlip	0.0559
14	BitFlip	0.0573
14	BitFlip	0.0581
14	BitFlip	0.0599
14	BitFlip	0.0609
14	BitFlip	0.0622
14	BitFlip	0.0633
14	BitFlip	0.0641
14	BitFlip	0.0649
14	BitFlip	0.066
14	BitFlip	0.0664
14	BitFlip	0.0683
14	BitFlip	0.0695
14	BitFlip	0.0707
14	BitFlip	0.0716
14	BitFlip	0.0729
14	BitFlip	0.0742
14	BitFlip	0.0758
14	BitFlip	0.0766
14	BitFlip	0.0783
14	BitFlip	0.0793
14	BitFlip	0.0804
14	BitFlip	0.0816
14	BitFlip	0.0828
14	BitFlip	0.0838
14	BitFlip	0.086
14	BitFlip	0.0872
14	BitFlip	0.0889
14	BitFlip	0.0901
14	BitFlip	0.0921
14	BitFlip	0.0926
14	BitFlip	0.0937
14	BitFlip	0.0946
14	BitFlip	0.0963
14	BitFlip	0.0966
14	BitFlip	0.0988
14	BitFlip	0.0996
14	BitFlip	0.1008
14	BitFlip	0.1021
14	BitFlip	0.1039
14	BitFlip	0.1057
14	BitFlip	0.1066
14	BitFlip	0.1074
14	BitFlip	0.1091
14	BitFlip	0.1106
14	BitFlip	0.1119
14	BitFlip	0.1131
14	BitFlip	0.1138
14	BitFlip	0.1153
14	BitFlip	0.1162
14	BitFlip	0.1168
14	BitFlip	0.1176
14	BitFlip	0.1188
14	BitFlip	0.1196
15	Majority	0.0008
15	Majority	0.0015
15	Majority	0.0024
15	Majority	0.0033
15	Majority	0.0044
15	Majority	0.0062
15	Majority	0.0075
15	Majority	0.0098
15	Majority	0.0106
15	Majority	0.0117
15	Majority	0.0128
15	Majority	0.0135
15	Majority	0.0146
15	Majority	0.0155
15	Majority	0.0168
15	Majority	0.0187
15	Majority	0.0197
15	Majority	0.0216
15	Majority	0.0227
15	Majority	0.0239
15	Majority	0.0246
15	Majority	0.026
15	Majority	0.0272
15	Majority	0.029
15	Majority	0.0304
15	Majority	0.0316
15	Majority	0.0322
15	Majority	0.0333
15	Majority	0.0343
15	Majority	0.0351
15	Majority	0.0357
15	Majority	0.0371
15	Majority	0.0379
15	Majority	0.0389
15	Majority	0.0399
15	Majority	0.0419
15	Majority	0.0427
15	Majority	0.0448
15	Majority	0.0461
15	Majority	0.0473
15	Majority	0.0482
15	Majority	0.0497
15	Majority	0.0507
15	Majority	0.052
15	Majority	0.0533
15	Majority	0.0542
15	Majority	0.0557
15	Majority	0.0561
15	Majority	0.0568
15	Majority	0.0585
15	Majority	0.0596
15	Majority	0.0619
15	Majority	0.063
15	Majority	0.0649
15	Majority	0.0656
15	Majority	0.0668
15	Majority	0.0679
15	Majority	0.0701
15	Majority	0.0709
15	Majority	0.0724
15	Majority	0.0736
15	Majority	0.0747
15	Majority	0.0755
15	Majority	0.0767
15	Majority	0.0777
15	Majority	0.0785
15	Majority	0.0794
15	Majority	0.0807
15	Majority	0.0814
15	Majority	0.0818
15	Majority	0.0829
15	Majority	0.0842
15	Majority	0.0852
15	Majority	0.087
15	Majority	0.0885
15	Majority	0.0894
15	Majority	0.0901
15	Majority	0.0913
15	Majority	0.092
15	Majority	0.0931
15	Majority	0.0941
15	Majority	0.0952
15	Majority	0.0963
15	Majority	0.098
15	Majority	0.0994
15	Majority	0.1
15	Majority	0.1013
15	Majority	0.1029
15	Majority	0.1034
15	Majority	0.1051
15	Majority	0.1062
15	Majority	0.1077
15	Majority	0.1091
15	Majority	0.1103
15	Majority	0.1109
15	Majority	0.1122
15	Majority	0.113
15	Majority	0.1143
15	Majority	0.1154
15	Majority	0.1167
15	BitFlip	0.0013
15	BitFlip	0.002
15	BitFlip	0.003
15	BitFlip	0.0041
15	BitFlip	0.0051
15	BitFlip	0.0061
15	BitFlip	0.0068
15	BitFlip	0.0081
15	BitFlip	0.0089
15	BitFlip	0.0111
15	BitFlip	0.0119
15	BitFlip	0.0141
15	BitFlip	0.0153
15	BitFlip	0.0166
15	BitFlip	0.0174
15	BitFlip	0.0187
15	BitFlip	0.0198
15	BitFlip	0.021
15	BitFlip	0.0226
15	BitFlip	0.0235
15	BitFlip	0.0246
15	BitFlip	0.0259
15	BitFlip	0.0267
15	BitFlip	0.0279
15	BitFlip	0.0294
15	BitFlip	0.031
15	BitFlip	0.0318
15	BitFlip	0.0326
15	BitFlip	0.034
15	BitFlip	0.0354
15	BitFlip	0.0366
15	BitFlip	0.0383
15	BitFlip	0.0395
15	BitFlip	0.041
15	BitFlip	0.0417
15	BitFlip	0.0434
15	BitFlip	0.0445
15	BitFlip	0.0458
15	BitFlip	0.0472
15	BitFlip	0.0484
15	BitFlip	0.0495
15	BitFlip	0.0505
15	BitFlip	0.0513
15	BitFlip	0.0526
15	BitFlip	0.0542
15	BitFlip	0.0552
15	BitFlip	0.0565
15	BitFlip	0.058
15	BitFlip	0.0591
15	BitFlip	0.0607
15	BitFlip	0.0614
15	BitFlip	0.0636
15	BitFlip	0.0645
15	BitFlip	0.0677
15	BitFlip	0.0682
15	BitFlip	0.0691
15	BitFlip	0.0698
15	BitFlip	0.0718
15	BitFlip	0.0725
15	BitFlip	0.0734
15	BitFlip	0.0741
15	BitFlip	0.076
15	BitFlip	0.0772
15	BitFlip	0.0782
15	BitFlip	0.0792
15	BitFlip	0.0804
15	BitFlip	0.0811
15	BitFlip	0.0828
15	BitFlip	0.0846
15	BitFlip	0.0859
15	BitFlip	0.0865
15	BitFlip	0.0874
15	BitFlip	0.0884
15	BitFlip	0.0897
15	BitFlip	0.0904
15	BitFlip	0.0921
15	BitFlip	0.0938
15	BitFlip	0.0951
15	BitFlip	0.096
15	BitFlip	0.097
15	BitFlip	0.0976
15	BitFlip	0.0989
15	BitFlip	0.1001
15	BitFlip	0.101
15	BitFlip	0.1022
15	BitFlip	0.1031
15	BitFlip	0.1036
15	BitFlip	0.1043
15	BitFlip	0.105
15	BitFlip	0.1067
15	BitFlip	0.1075
15	BitFlip	0.1088
15	BitFlip	0.1099
15	BitFlip	0.1113
15	BitFlip	0.1125
15	BitFlip	0.1132
15	BitFlip	0.1147
15	BitFlip	0.1163
15	BitFlip	0.1179
15	BitFlip	0.1193
16	Majority	0.0014
16	Majority	0.0026
16	Majority	0.0041
16	Majority	0.0054
16	Majority	0.0064
16	Majority	0.0073
16	Majority	0.0082
16	Majority	0.0094
16	Majority	0.0106
16	Majority	0.0119
16	Majority	0.0128
16	Majority	0.0141
16	Majority	0.0154
16	Majority	0.0167
16	Majority	0.0184
16	Majority	0.0197
16	Majority	0.0207
16	Majority	0.0215
16	Majority	0.023
16	Majority	0.0248
16	Majority	0.0258
16	Majority	0.0269
16	Majority	0.0279
16	Majority	0.0288
16	Majority	0.0301
16	Majority	0.0312
16	Majority	0.032
16	Majority	0.033
16	Majority	0.0338
16	Majority	0.0351
16	Majority	0.0359
16	Majority	0.0373
16	Majority	0.0381
16	Majority	0.0391
16	Majority	0.0393
16	Majority	0.04
16	Majority	0.0409
16	Majority	0.042
16	Majority	0.0429
16	Majority	0.0447
16	Majority	0.0457
16	Majority	0.0468
16	Majority	0.048
16	Majority	0.0492
16	Majority	0.0504
16	Majority	0.0516
16	Majority	0.0526
16	Majority	0.0539
16	Majority	0.055
16	Majority	0.0562
16	Majority	0.0574
16	Majority	0.0589
16	Majority	0.0601
16	Majority	0.0613
16	Majority	0.0622
16	Majority	0.0633
16	Majority	0.0639
16	Majority	0.0648
16	Majority	0.0657
16	Majority	0.0673
16	Majority	0.0686
16	Majority	0.0693
16	Majority	0.0703
16	Majority	0.0714
16	Majority	0.0725
16	Majority	0.0735
16	Majority	0.0749
16	Majority	0.0763
16	Majority	0.0771
16	Majority	0.0785
16	Majority	0.0799
16	Majority	0.0806
16	Majority	0.0817
16	Majority	0.0835
16	Majority	0.0847
16	Majority	0.0859
16	Majority	0.0871
16	Majority	0.0885
16	Majority	0.0895
16	Majority	0.0917
16	Majority	0.0929
16	Majority	0.0954
16	Majority	0.0967
16	Majority	0.0974
16	Majority	0.0982
16	Majority	0.0993
16	Majority	0.1001
16	Majority	0.1014
16	Majority	0.1022
16	Majority	0.1031
16	Majority	0.1043
16	Majority	0.1063
16	Majority	0.1075
16	Majority	0.1094
16	Majority	0.1107
16	Majority	0.1121
16	Majority	0.113
16	Majority	0.114
16	Majority	0.115
16	Majority	0.1158
16	BitFlip	0.0005
16	BitFlip	0.0023
16	BitFlip	0.0031
16	BitFlip	0.0044
16	BitFlip	0.0052
16	BitFlip	0.0067
16	BitFlip	0.0071
16	BitFlip	0.0087
16	BitFlip	0.0094
16	BitFlip	0.0119
16	BitFlip	0.0125
16	BitFlip	0.0133
16	BitFlip	0.0141
16	BitFlip	0.0151
16	BitFlip	0.0161
16	BitFlip	0.0177
16	BitFlip	0.0187
16	BitFlip	0.0208
16	BitFlip	0.0214
16	BitFlip	0.0222
16	BitFlip	0.0228
16	BitFlip	0.025
16	BitFlip	0.0262
16	BitFlip	0.0279
16	BitFlip	0.0287
16	BitFlip	0.0305
16	BitFlip	0.0308
16	BitFlip	0.0316
16	BitFlip	0.0326
16	BitFlip	0.0337
16	BitFlip	0.0348
16	BitFlip	0.0355
16	BitFlip	0.0369
16	BitFlip	0.0394
16	BitFlip	0.0407
16	BitFlip	0.0418
16	BitFlip	0.0425
16	BitFlip	0.0431
16	BitFlip	0.044
16	BitFlip	0.0457
16	BitFlip	0.0476
16	BitFlip	0.0494
16	BitFlip	0.0502
16	BitFlip	0.0519
16	BitFlip	0.0532
16	BitFlip	0.0545
16	BitFlip	0.0553
16	BitFlip	0.0572
16	BitFlip	0.0578
16	BitFlip	0.059
16	BitFlip	0.0595
16	BitFlip	0.0606
16	BitFlip	0.0615
16	BitFlip	0.0627
16	BitFlip	0.064
16	BitFlip	0.065
16	BitFlip	0.0664
16	BitFlip	0.0678
16	BitFlip	0.0686
16	BitFlip	0.0701
16	BitFlip	0.0711
16	BitFlip	0.073
16	BitFlip	0.0737
16	BitFlip	0.0753
16	BitFlip	0.0761
16	BitFlip	0.0778
16	BitFlip	0.0787
16	BitFlip	0.0796
16	BitFlip	0.081
16	BitFlip	0.082
16	BitFlip	0.0836
16	BitFlip	0.0847
16	BitFlip	0.0864
16	BitFlip	0.0875
16	BitFlip	0.0886
16	BitFlip	0.0899
16	BitFlip	0.0907
16	BitFlip	0.0921
16	BitFlip	0.0935
16	BitFlip	0.0944
16	BitFlip	0.0959
16	BitFlip	0.0968
16	BitFlip	0.098
16	BitFlip	0.0993
16	BitFlip	0.1002
16	BitFlip	0.1017
16	BitFlip	0.1034
16	BitFlip	0.1054
16	BitFlip	0.1067
16	BitFlip	0.1078
16	BitFlip	0.1088
16	BitFlip	0.1098
16	BitFlip	0.1107
16	BitFlip	0.1128
16	BitFlip	0.1136
16	BitFlip	0.1154
16	BitFlip	0.1168
16	BitFlip	0.1185
16	BitFlip	0.1194
16	BitFlip	0.1214
17	Majority	0.0011
17	Majority	0.0023
17	Majority	0.0032
17	Majority	0.0059
17	Majority	0.0074
17	Majority	0.0083
17	Majority	0.0094
17	Majority	0.0108
17	Majority	0.0116
17	Majority	0.013
17	Majority	0.0138
17	Majority	0.0149
17	Majority	0.0158
17	Majority	0.0172
17	Majority	0.0183
17	Majority	0.02
17	Majority	0.0212
17	Majority	0.0223
17	Majority	0.0232
17	Majority	0.0238
17	Majority	0.0246
17	Majority	0.0255
17	Majority	0.0266
17	Majority	0.0273
17	Majority	0.029
17	Majority	0.03
17	Majority	0.0311
17	Majority	0.0327
17	Majority	0.0337
17	Majority	0.0349
17	Majority	0.0362
17	Majority	0.0372
17	Majority	0.0379
17	Majority	0.0389
17	Majority	0.0396
17	Majority	0.0409
17	Majority	0.0421
17	Majority	0.043
17	Majority	0.0446
17	Majority	0.0459
17	Majority	0.0475
17	Majority	0.0493
17	Majority	0.0507
17	Majority	0.0512
17	Majority	0.0523
17	Majority	0.0542
17	Majority	0.0552
17	Majority	0.0559
17	Majority	0.0573
17	Majority	0.0586
17	Majority	0.0593
17	Majority	0.0615
17	Majority	0.0625
17	Majority	0.0643
17	Majority	0.0654
17	Majority	0.0668
17	Majority	0.0683
17	Majority	0.0695
17	Majority	0.0706
17	Majority	0.0715
17	Majority	0.0722
17	Majority	0.0735
17	Majority	0.0745
17	Majority	0.0759
17	Majority	0.0772
17	Majority	0.0788
17	Majority	0.0799
17	Majority	0.0813
17	Majority	0.0825
17	Majority	0.0832
17	Majority	0.0838
17	Majority	0.0855
17	Majority	0.0864
17	Majority	0.0878
17	Majority	0.0894
17	Majority	0.0904
17	Majority	0.0912
17	Majority	0.0921
17	Majority	0.0942
17	Majority	0.0957
17	Majority	0.0964
17	Majority	0.0979
17	Majority	0.0986
17	Majority	0.0997
17	Majority	0.1003
17	Majority	0.1013
17	Majority	0.102
17	Majority	0.1038
17	Majority	0.1047
17	Majority	0.1057
17	Majority	0.1066
17	Majority	0.1077
17	Majority	0.1083
17	Majority	0.1095
17	Majority	0.1107
17	Majority	0.112
17	Majority	0.1126
17	Majority	0.1137
17	Majority	0.1146
17	Majority	0.1166
17	BitFlip	0.0016
17	BitFlip	0.003
17	BitFlip	0.0038
17	BitFlip	0.0045
17	BitFlip	0.0058
17	BitFlip	0.0066
17	BitFlip	0.0082
17	BitFlip	0.0102
17	BitFlip	0.011
17	BitFlip	0.0118
17	BitFlip	0.0133
17	BitFlip	0.0158
17	BitFlip	0.0165
17	BitFlip	0.0175
17	BitFlip	0.0183
17	BitFlip	0.0197
17	BitFlip	0.021
17	BitFlip	0.0219
17	BitFlip	0.0227
17	BitFlip	0.0243
17	BitFlip	0.0253
17	BitFlip	0.0265
17	BitFlip	0.0273
17	BitFlip	0.028
17	BitFlip	0.0287
17	BitFlip	0.03
17	BitFlip	0.0314
17	BitFlip	0.0322
17	BitFlip	0.0331
17	BitFlip	0.0344
17	BitFlip	0.0351
17	BitFlip	0.0371
17	BitFlip	0.0385
17	BitFlip	0.04
17	BitFlip	0.0413
17	BitFlip	0.0424
17	BitFlip	0.0438
17	BitFlip	0.0452
17	BitFlip	0.0461
17	BitFlip	0.0481
17	BitFlip	0.0496
17	BitFlip	0.052
17	BitFlip	0.0529
17	BitFlip	0.0538
17	BitFlip	0.0543
17	BitFlip	0.0551
17	BitFlip	0.0558
17	BitFlip	0.0566
17	BitFlip	0.0578
17	BitFlip	0.0593
17	BitFlip	0.0603
17	BitFlip	0.0613
17	BitFlip	0.0622
17	BitFlip	0.0633
17	BitFlip	0.0644
17	BitFlip	0.0658
17	BitFlip	0.0672
17	BitFlip	0.0684
17	BitFlip	0.0692
17	BitFlip	0.0707
17	BitFlip	0.0717
17	BitFlip	0.0737
17	BitFlip	0.0748
17	BitFlip	0.0759
17	BitFlip	0.0767
17	BitFlip	0.0784
17	BitFlip	0.0792
17	BitFlip	0.0804
17	BitFlip	0.0816
17	BitFlip	0.0835
17	BitFlip	0.0844
17	BitFlip	0.0857
17	BitFlip	0.0864
17	BitFlip	0.0871
17	BitFlip	0.0876
17	BitFlip	0.0892
17	BitFlip	0.0902
17	BitFlip	0.0923
17	BitFlip	0.0936
17	BitFlip	0.0942
17	BitFlip	0.095
17	BitFlip	0.0959
17	BitFlip	0.0969
17	BitFlip	0.0978
17	BitFlip	0.0985
17	BitFlip	0.0993
17	BitFlip	0.1002
17	BitFlip	0.1018
17	BitFlip	0.1029
17	BitFlip	0.1047
17	BitFlip	0.1058
17	BitFlip	0.1076
17	BitFlip	0.1083
17	BitFlip	0.1095
17	BitFlip	0.111
17	BitFlip	0.1118
17	BitFlip	0.1124
17	BitFlip	0.1136
17	BitFlip	0.1149
17	BitFlip	0.1168
18	Majority	0.0008
18	Majority	0.0021
18	Majority	0.0033
18	Majority	0.0038
18	Majority	0.0048
18	Majority	0.0054
18	Majority	0.0061
18	Majority	0.0072
18	Majority	0.0078
18	Majority	0.0094
18	Majority	0.0103
18	Majority	0.0118
18	Majority	0.0124
18	Majority	0.0137
18	Majority	0.0148
18	Majority	0.0157
18	Majority	0.0167
18	Majority	0.0179
18	Majority	0.0187
18	Majority	0.0201
18	Majority	0.0207
18	Majority	0.0223
18	Majority	0.0236
18	Majority	0.0248
18	Majority	0.0257
18	Majority	0.0272
18	Majority	0.0279
18	Majority	0.0296
18	Majority	0.0308
18	Majority	0.0316
18	Majority	0.0325
18	Majority	0.0338
18	Majority	0.0346
18	Majority	0.0357
18	Majority	0.0366
18	Majority	0.0383
18	Majority	0.0391
18	Majority	0.0403
18	Majority	0.041
18	Majority	0.0424
18	Majority	0.0431
18	Majority	0.0442
18	Majority	0.0454
18	Majority	0.0463
18	Majority	0.0477
18	Majority	0.049
18	Majority	0.0499
18	Majority	0.051
18	Majority	0.0521
18	Majority	0.0545
18	Majority	0.0555
18	Majority	0.0569
18	Majority	0.0584
18	Majority	0.0587
18	Majority	0.06
18	Majority	0.0613
18	Majority	0.0625
18	Majority	0.0634
18	Majority	0.0647
18	Majority	0.0652
18	Majority	0.0663
18	Majority	0.0673
18	Majority	0.0684
18	Majority	0.0686
18	Majority	0.07
18	Majority	0.0713
18	Majority	0.0723
18	Majority	0.0738
18	Majority	0.075
18	Majority	0.076
18	Majority	0.0773
18	Majority	0.0783
18	Majority	0.0793
18	Majority	0.0807
18	Majority	0.0813
18	Majority	0.0832
18	Majority	0.0846
18	Majority	0.0856
18	Majority	0.0864
18	Majority	0.0872
18	Majority	0.0879
18	Majority	0.0894
18	Majority	0.0904
18	Majority	0.0919
18	Majority	0.0929
18	Majority	0.0935
18	Majority	0.0943
18	Majority	0.0955
18	Majority	0.0966
18	Majority	0.098
18	Majority	0.0988
18	Majority	0.1004
18	Majority	0.1015
18	Majority	0.1032
18	Majority	0.1041
18	Majority	0.1052
18	Majority	0.1066
18	Majority	0.1081
18	Majority	0.1097
18	Majority	0.1104
18	BitFlip	0.0006
18	BitFlip	0.0016
18	BitFlip	0.0025
18	BitFlip	0.0036
18	BitFlip	0.0043
18	BitFlip	0.0058
18	BitFlip	0.0071
18	BitFlip	0.0082
18	BitFlip	0.0091
18	BitFlip	0.0106
18	BitFlip	0.0115
18	BitFlip	0.0133
18	BitFlip	0.0139
18	BitFlip	0.0152
18	BitFlip	0.016
18	BitFlip	0.0171
18	BitFlip	0.0182
18	BitFlip	0.0196
18	BitFlip	0.0205
18	BitFlip	0.0217
18	BitFlip	0.0225
18	BitFlip	0.0236
18	BitFlip	0.0245
18	BitFlip	0.0253
18	BitFlip	0.0259
18	BitFlip	0.027
18	BitFlip	0.028
18	BitFlip	0.0288
18	BitFlip	0.0299
18	BitFlip	0.0315
18	BitFlip	0.0328
18	BitFlip	0.0349
18	BitFlip	0.0356
18	BitFlip	0.0372
18	BitFlip	0.0385
18	BitFlip	0.0405
18	BitFlip	0.0419
18	BitFlip	0.0431
18	BitFlip	0.0439
18	BitFlip	0.0454
18	BitFlip	0.0461
18	BitFlip	0.0476
18	BitFlip	0.0487
18	BitFlip	0.0497
18	BitFlip	0.0506
18	BitFlip	0.0519
18	BitFlip	0.0533
18	BitFlip	0.054
18	BitFlip	0.0555
18	BitFlip	0.0567
18	BitFlip	0.0575
18	BitFlip	0.059
18	BitFlip	0.0599
18	BitFlip	0.0611
18	BitFlip	0.062
18	BitFlip	0.0632
18	BitFlip	0.0642
18	BitFlip	0.0657
18	BitFlip	0.0673
18	BitFlip	0.0688
18	BitFlip	0.0702
18	BitFlip	0.0723
18	BitFlip	0.0734
18	BitFlip	0.0747
18	BitFlip	0.0753
18	BitFlip	0.0769
18	BitFlip	0.0776
18	BitFlip	0.0791
18	BitFlip	0.08
18	BitFlip	0.0816
18	BitFlip	0.0826
18	BitFlip	0.0837
18	BitFlip	0.0848
18	BitFlip	0.0863
18	BitFlip	0.0868
18	BitFlip	0.0878
18	BitFlip	0.0892
18	BitFlip	0.0905
18	BitFlip	0.0915
18	BitFlip	0.0925
18	BitFlip	0.0931
18	BitFlip	0.0952
18	BitFlip	0.0959
18	BitFlip	0.0971
18	BitFlip	0.0984
18	BitFlip	0.0995
18	BitFlip	0.1007
18	BitFlip	0.1021
18	BitFlip	0.103
18	BitFlip	0.1049
18	BitFlip	0.1063
18	BitFlip	0.1075
18	BitFlip	0.1083
18	BitFlip	0.1088
18	BitFlip	0.1095
18	BitFlip	0.1112
18	BitFlip	0.112
18	BitFlip	0.1133
18	BitFlip	0.1144
18	BitFlip	0.1149
19	Majority	0.0013
19	Majority	0.0022
19	Majority	0.0029
19	Majority	0.0049
19	Majority	0.0052
19	Majority	0.0063
19	Majority	0.0073
19	Majority	0.0085
19	Majority	0.0095
19	Majority	0.0104
19	Majority	0.011
19	Majority	0.0114
19	Majority	0.0118
19	Majority	0.0137
19	Majority	0.0141
19	Majority	0.0151
19	Majority	0.0161
19	Majority	0.0177
19	Majority	0.0185
19	Majority	0.0194
19	Majority	0.0206
19	Majority	0.0218
19	Majority	0.0226
19	Majority	0.0239
19	Majority	0.0254
19	Majority	0.0269
19	Majority	0.0273
19	Majority	0.0289
19	Majority	0.0301
19	Majority	0.0317
19	Majority	0.0326
19	Majority	0.0341
19	Majority	0.0352
19	Majority	0.0371
19	Majority	0.0383
19	Majority	0.04
19	Majority	0.0411
19	Majority	0.0419
19	Majority	0.0434
19	Majority	0.0442
19	Majority	0.0451
19	Majority	0.0464
19	Majority	0.0475
19	Majority	0.0493
19	Majority	0.0507
19	Majority	0.0515
19	Majority	0.0523
19	Majority	0.0537
19	Majority	0.055
19	Majority	0.0571
19	Majority	0.0579
19	Majority	0.0599
19	Majority	0.061
19	Majority	0.0633
19	Majority	0.0648
19	Majority	0.0655
19	Majority	0.0664
19	Majority	0.068
19	Majority	0.0694
19	Majority	0.0712
19	Majority	0.0719
19	Majority	0.0741
19	Majority	0.0753
19	Majority	0.0769
19	Majority	0.0784
19	Majority	0.0793
19	Majority	0.0806
19	Majority	0.0824
19	Majority	0.0836
19	Majority	0.0852
19	Majority	0.0862
19	Majority	0.0869
19	Majority	0.0881
19	Majority	0.0896
19	Majority	0.0911
19	Majority	0.0922
19	Majority	0.0933
19	Majority	0.094
19	Majority	0.0949
19	Majority	0.0959
19	Majority	0.0966
19	Majority	0.0982
19	Majority	0.0993
19	Majority	0.1023
19	Majority	0.1031
19	Majority	0.104
19	Majority	0.1049
19	Majority	0.1052
19	Majority	0.1058
19	Majority	0.1068
19	Majority	0.108
19	Majority	0.1097
19	Majority	0.1115
19	Majority	0.1134
19	Majority	0.114
19	Majority	0.1151
19	Majority	0.1159
19	Majority	0.1169
19	Majority	0.1177
19	Majority	0.1188
19	BitFlip	0.0011
19	BitFlip	0.0024
19	BitFlip	0.0038
19	BitFlip	0.0055
19	BitFlip	0.0061
19	BitFlip	0.0072
19	BitFlip	0.0083
19	BitFlip	0.0096
